Material;Venda_pallet;Embalagem;Quantidade_de_cxs;Data;Quantidade;Peso;Frequencia
3985;0,030381944;N1;35;44713;350;7;7
3985;0,034722222;N1;40;44562;400;8;5
3985;0,037326389;N1;43;44866;430;8,6;4
3985;0,046006944;N1;53;44774;530;10,6;5
3985;0,061631944;N1;71;44743;710;14,2;5
3985;0,065104167;N1;75;44805;750;15;9
3985;0,099826389;N1;115;44593;1150;23;14
3985;0,15625;N1;180;44835;1800;36;6
3985;0,305555556;N1;352;44652;3520;70,4;5
3985;0,317708333;N1;366;44682;3660;73,2;10
3985;0,331597222;N1;382;44621;3820;76,4;12
3986;0,001736111;N1;2;44593;20;0,4;1
3986;0,018229167;N1;21;44652;210;4,2;3
3986;0,067708333;N1;78;44562;780;15,6;1
3986;0,0703125;N1;81;44743;810;16,2;1
3986;0,1015625;N1;117;44621;1170;23,4;3
3986;0,145833333;N1;168;44805;1680;33,6;3
3986;0,297743056;N1;343;44866;3430;68,6;3
3986;0,308159722;N1;355;44835;3550;71;3
3986;0,348090278;N1;401;44713;4010;80,2;2
3986;0,355034722;N1;409;44774;4090;81,8;3
3986;0,451388889;N1;520;44682;5200;104;2
3987;0,001539063;N1;2;44621;17,73;0,355;1
3987;0,011284722;N1;13;44805;130;2,6;1
3987;0,013888889;N1;16;44743;160;3,2;1
3987;0,013888889;N1;16;44774;160;3,2;1
3987;0,014756944;N1;17;44866;170;3,4;1
3987;0;N1;0;44562;0;0;0
3987;0;N1;0;44593;0;0;0
3987;0;N1;0;44652;0;0;0
3987;0;N1;0;44682;0;0;0
3987;0;N1;0;44713;0;0;0
3987;0;N1;0;44835;0;0;0
3988;0,026041667;N1;30;44652;300;6,6;4
3988;0,051215278;N1;59;44713;590;12,98;4
3988;0,051215278;N1;59;44835;590;12,98;3
3988;0,052951389;N1;61;44805;610;13,42;4
3988;0,098971354;N1;114;44774;1140,15;25,083;8
3988;0,105902778;N1;122;44562;1220;26,84;4
3988;0,152777778;N1;176;44743;1760;38,72;3
3988;0,164930556;N1;190;44621;1900;41,8;5
3988;0,181423611;N1;209;44593;2090;45,98;9
3988;0,217013889;N1;250;44682;2500;55;8
3988;0,219618056;N1;253;44866;2530;55,66;5
3989;0,005208333;N1;6;44713;60;1,32;1
3989;0,005208333;N1;6;44743;60;1,32;1
3989;0,006944444;N1;8;44562;80;1,76;1
3989;0,006944444;N1;8;44593;80;1,76;1
3989;0,006944444;N1;8;44774;80;1,76;1
3989;0,006944444;N1;8;44835;80;1,76;1
3989;0,0078125;N1;9;44682;90;1,98;1
3989;0,009548611;N1;11;44866;110;2,42;1
3989;0;N1;0;44621;0;0;0
3989;0;N1;0;44652;0;0;0
3989;0;N1;0;44805;0;0;0
3990;0,0000503;N1;0;44593;0,58;0,013;1
3990;0,025940972;N1;30;44562;298,84;6,874;3
3990;0,034722222;N1;40;44621;400;9,2;1
3990;0,045902778;N1;53;44713;528,8;12,162;1
3990;0,06718316;N1;77;44835;773,95;17,801;1
3990;0;N1;0;44652;0;0;0
3990;0;N1;0;44682;0;0;0
3990;0;N1;0;44743;0;0;0
3990;0;N1;0;44774;0;0;0
3990;0;N1;0;44805;0;0;0
3990;0;N1;0;44866;0;0;0
3991;0,020833333;N1;24;44652;240;7,2;1
3991;0,024305556;N1;28;44682;280;8,4;1
3991;0,024665799;N1;28;44835;284,15;8,524;1
3991;0,045138889;N1;52;44743;520;15,6;2
3991;0,052083333;N1;60;44713;600;18;2
3991;0;N1;0;44774;0;0;2
3991;0;N1;0;44562;0;0;0
3991;0;N1;0;44593;0;0;0
3991;0;N1;0;44621;0;0;0
3991;0;N1;0;44805;0;0;0
3991;0;N1;0;44866;0;0;0
3992;0,011284722;N1;13;44562;130;4,68;2
3992;0,012161458;N1;14;44805;140,1;5,044;5
3992;0,013888889;N1;16;44621;160;5,76;2
3992;0,026909722;N1;31;44593;310;11,16;2
3992;0,0390625;N1;45;44743;450;16,2;3
3992;0,041666667;N1;48;44682;480;17,28;2
3992;0,046888021;N1;54;44774;540,15;19,445;4
3992;0,076388889;N1;88;44652;880;31,68;4
3992;0,078125;N1;90;44835;900;32,4;3
3992;0;N1;0;44713;0;0;0
3992;0;N1;0;44866;0;0;0
3993;0,032118056;N1;37;44866;370;8,88;2
3993;0,059895833;N1;69;44562;690;16,56;4
3993;0,069444444;N1;80;44713;800;19,2;5
3993;0,082465278;N1;95;44682;950;22,8;10
3993;0,122395833;N1;141;44593;1410;33,84;8
3993;0,134548611;N1;155;44805;1550;37,2;6
3993;0,160590278;N1;185;44774;1850;44,4;4
3993;0,205729167;N1;237;44621;2370;56,88;10
